N,total_s,last_clear_s,last_discovery_s,tail_s,tail_fraction,last_discovery_to_end_s,discovered_by_6000,cleared_by_6000,all_found_by_6000,all_cleared_by_6000,all_done_5000_6000,tail_measures,tail_no_signal,after_6000_measures,after_6000_no_signal,discovered_total,cleared_total,all_move_s,all_measure_s,all_switch_s,all_clear_s,tail_move_s,tail_measure_s,tail_switch_s,tail_clear_s,after_6000_s,after_6000_tail_s,cost_accounting_error,absent_channel_measures,after_6000_absent_channel_measures,after_6000_clear_successes,after_6000_clear_failures,after6000_discovery_count,seed,completion,error,original_total_s,replay_delta_s,distribution
13,8524.069851,3017.089906,1037.0,5506.979945,0.6460505417320048,7487.069851,13,13,True,True,False,161,161,77,77,13,13,6631.069851,1500.0,268.0,125.0,4562.979945,805.0,139.0,0.0,2524.069851,2524.069851,0.0,217,77,0,0,0,1245000034,True,,8524.069851,0.0,cluster
12,11838.993957,11838.993957,8276.113755,0.0,0.0,3562.8802020000003,7,3,False,False,False,0,0,156,141,12,12,8128.993957000001,2610.0,488.0,612.0,0,0,0,0,5838.993957000001,0.0,0.0,248,96,9,184,5,1245000035,True,,11838.993957,0.0,outward
11,10564.687828,10564.687828,8280.332075,0.0,0.0,2284.355753,10,6,False,False,False,0,0,142,139,11,11,7688.687828,2330.0,434.0,112.0,0,0,0,0,4564.687828,0.0,0.0,279,109,5,19,1,1245000036,True,,10564.687828,0.0,area
11,9697.434168,8997.448667,4249.380327,699.9855009999992,0.07218254734946701,5448.053841,11,8,True,False,False,9,9,103,100,11,11,7168.434168,2075.0,387.0,67.0,646.9855009999992,45.0,8.0,0.0,3697.4341679999998,699.9855009999992,0.0,279,99,3,0,0,1245000037,True,,9697.434168,0.0,edge
12,8544.58285,2443.783435,719.0,6100.799415000001,0.7139961683442511,7825.582850000001,12,12,True,True,False,192,192,80,80,12,12,6757.582850000001,1465.0,262.0,60.0,4972.799415,960.0,168.0,0.0,2544.5828500000007,2544.5828500000007,0.0,248,80,0,0,0,1245000038,True,,8544.58285,0.0,cluster
10,10188.906854,9147.183156,5226.250328,1041.7236980000016,0.10224096784151458,4962.656526000001,10,4,True,False,False,30,30,120,118,10,10,7408.906854000001,2300.0,430.0,50.0,864.7236980000016,150.0,27.0,0.0,4188.906854000001,1041.7236980000016,0.0,310,110,6,0,0,1245000039,True,,10188.906854,0.0,outward
16,5703.59632,5703.59632,4921.979898,0.0,0.0,781.6164220000001,16,16,True,True,True,0,0,0,0,16,16,4210.59632,1035.0,192.0,266.0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,0,1245000040,True,,5703.59632,0.0,area
13,9283.590996,8657.290737,1919.0,626.3002590000015,0.06746314645591926,7364.590996000001,13,11,True,False,False,21,21,98,96,13,13,6859.590996000001,1990.0,369.0,65.0,503.30025900000146,105.0,18.0,0.0,3283.590996000001,626.3002590000015,0.0,217,84,2,0,0,1245000041,True,,9283.590996,0.0,edge
11,9204.731244,9204.731244,1698.743777,0.0,0.0,7505.987467000001,11,10,True,False,False,0,0,111,110,11,11,7083.7312440000005,1745.0,318.0,58.0,0,0,0,0,3204.7312440000005,0.0,0.0,279,99,1,0,0,1245000042,True,,9204.731244,0.0,cluster
10,9756.813619,8922.867925,6941.916215,833.945694,0.08547316025141752,2814.8974040000003,7,5,False,False,False,20,20,149,139,10,10,6857.8136190000005,2390.0,447.0,62.0,715.945694,100.0,18.0,0.0,3756.8136190000005,833.945694,0.0,310,120,5,4,3,1245000043,True,,9756.813619,0.0,outward
13,9828.102955,9828.102955,1289.0,0.0,0.0,8539.102955,13,10,True,False,False,0,0,97,96,13,13,7757.102955,1690.0,310.0,71.0,0,0,0,0,3828.1029550000003,0.0,0.0,217,84,3,0,0,1245000044,True,,9828.102955,0.0,area
11,9340.379319,8810.948103,1979.0,529.431215999999,0.05668198238191905,7361.379319,11,5,True,False,False,18,18,139,135,11,11,6471.379319,2365.0,443.0,61.0,423.43121599999904,90.0,16.0,0.0,3340.3793189999997,529.431215999999,0.0,279,108,6,2,0,1245000045,True,,9340.379319,0.0,edge
13,8284.667401,1973.777168,995.0,6310.890233,0.7617554124427789,7289.667401000001,13,13,True,True,False,182,182,70,70,13,13,6657.667401000001,1325.0,234.0,68.0,5244.890233000001,910.0,156.0,0.0,2284.6674010000006,2284.6674010000006,0.0,217,70,0,0,0,1245000046,True,,8284.667401,0.0,cluster
12,10075.002651,9683.050066,7571.257037,391.9525850000009,0.03890347214559764,2503.7456140000004,8,3,False,False,False,8,8,162,145,12,12,6943.002651000001,2585.0,487.0,60.0,344.9525850000009,40.0,7.0,0.0,4075.0026510000007,391.9525850000009,0.0,248,96,9,0,4,1245000047,True,,10075.002651,0.0,outward
11,10046.153495,10046.153495,2962.865024,0.0,0.0,7083.288471,11,7,True,False,False,0,0,124,120,11,11,7383.1534950000005,2095.0,387.0,181.0,0,0,0,0,4046.1534950000005,0.0,0.0,279,103,4,41,0,1245000048,True,,10046.153495,0.0,area
10,10312.520888,10312.520888,4531.587875,0.0,0.0,5780.933012999999,10,6,True,False,False,0,0,136,130,10,10,7444.520887999999,2370.0,445.0,53.0,0,0,0,0,4312.520887999999,0.0,0.0,310,115,4,0,0,1245000049,True,,10312.520888,0.0,edge
16,2426.251846,2426.251846,1700.504667,0.0,0.0,725.7471790000002,16,16,True,True,False,0,0,0,0,16,16,1894.2518460000001,380.0,72.0,80.0,0,0,0,0,0.0,0.0,0.0,17,0,0,0,0,1245000050,True,,2426.251846,0.0,cluster
16,10979.604462,10979.604462,9228.704619,0.0,0.0,1750.8998429999992,8,5,False,False,False,0,0,116,98,16,16,7898.604461999999,2310.0,430.0,341.0,0,0,0,0,4979.604461999999,0.0,0.0,112,40,11,87,8,1245000051,True,,10979.604462,0.0,outward
14,9431.495469,8669.011641,4817.31856,762.4838280000004,0.08084442499136829,4614.176909,14,11,True,False,False,18,18,79,78,14,14,7485.4954689999995,1585.0,288.0,73.0,657.4838280000004,90.0,15.0,0.0,3431.4954689999995,762.4838280000004,0.0,186,73,3,0,0,1245000052,True,,9431.495469,0.0,area
12,9616.906519,8848.863533,8244.745983,768.0429860000004,0.07986382985865441,1372.1605359999994,10,7,False,False,False,16,16,119,113,12,12,6949.906519,2185.0,407.0,75.0,674.0429860000004,80.0,14.0,0.0,3616.906519,768.0429860000004,0.0,248,96,5,2,2,1245000053,True,,9616.906519,0.0,edge
13,10493.123556,10493.123556,1359.43573,0.0,0.0,9133.687826000001,13,11,True,False,False,0,0,97,96,13,13,8286.123556,1600.0,287.0,320.0,0,0,0,0,4493.1235560000005,0.0,0.0,217,77,2,84,0,1245000054,True,,10493.123556,0.0,cluster
12,10202.277936,10202.277936,6873.839216,0.0,0.0,3328.43872,11,5,False,False,False,0,0,135,125,12,12,7335.277936,2360.0,441.0,66.0,0,0,0,0,4202.277936,0.0,0.0,248,96,7,0,1,1245000055,True,,10202.277936,0.0,outward
11,9424.955452,6548.328296,2302.428548,2876.6271560000005,0.30521387296208097,7122.526904,11,10,True,False,False,90,90,108,108,11,11,7226.955452,1805.0,332.0,61.0,2346.6271560000005,450.0,80.0,0.0,3424.955452,2876.6271560000005,0.0,279,108,1,0,0,1245000056,True,,9424.955452,0.0,area
11,9467.385274,8146.264751,5370.26153,1321.1205230000005,0.13954439211723585,4097.123744,11,7,True,False,False,45,45,123,120,11,11,6625.385274,2340.0,438.0,64.0,1055.1205230000005,225.0,41.0,0.0,3467.385274,1321.1205230000005,0.0,279,108,4,0,0,1245000057,True,,9467.385274,0.0,edge
15,8676.069208,4358.217353,1445.200598,4317.851855000001,0.49767374504327494,7230.868610000001,15,15,True,True,False,85,85,50,50,15,15,7071.069208000001,1285.0,227.0,93.0,3824.851855000001,425.0,68.0,0.0,2676.069208000001,2676.069208000001,0.0,155,50,0,0,0,1245000058,True,,8676.069208,0.0,cluster
11,9717.828008,9147.209245,8155.424573,570.6187630000004,0.05871875510970665,1562.4034350000002,8,4,False,False,False,18,18,151,140,11,11,6593.828008,2580.0,486.0,58.0,464.6187630000004,90.0,16.0,0.0,3717.8280080000004,570.6187630000004,0.0,279,108,7,1,3,1245000059,True,,9717.828008,0.0,outward
16,5745.73326,5745.73326,1582.319744,0.0,0.0,4163.4135160000005,16,16,True,True,True,0,0,0,0,16,16,4504.73326,760.0,140.0,341.0,0,0,0,0,0.0,0.0,0.0,20,0,0,0,0,1245000060,True,,5745.73326,0.0,area
13,9642.780987,7362.499528,5888.927474,2280.281459,0.23647550038460702,3753.853513,13,9,True,False,False,49,49,82,79,13,13,7183.780987,2000.0,370.0,89.0,1993.2814589999998,245.0,42.0,0.0,3642.780987,2280.281459,0.0,217,77,4,2,0,1245000061,True,,9642.780987,0.0,edge
11,8506.435533,2782.987565,1812.44318,5723.447968,0.6728374000833094,6693.992353,11,11,True,True,False,207,207,90,90,11,11,6461.435533,1675.0,306.0,64.0,4504.447968,1035.0,184.0,0.0,2506.435533,2506.435533,0.0,279,90,0,0,0,1245000062,True,,8506.435533,0.0,cluster
11,11363.688087,11363.688087,8688.453794,0.0,0.0,2675.2342930000013,8,2,False,False,False,0,0,165,155,11,11,8032.688087,2650.0,494.0,187.0,0,0,0,0,5363.688087,0.0,0.0,279,108,9,44,3,1245000063,True,,11363.688087,0.0,outward
13,9980.888944,9685.049644,8070.251769,295.83929999999964,0.02964057627129927,1910.6371749999998,10,6,False,False,False,7,7,115,104,13,13,7484.888944,2050.0,381.0,65.0,254.83929999999964,35.0,6.0,0.0,3980.8889440000003,295.83929999999964,0.0,217,84,7,0,3,1245000064,True,,9980.888944,0.0,area
12,9172.483274,8152.368926,5890.695674,1020.1143480000001,0.11121463158091337,3281.7876000000006,12,9,True,False,False,32,32,102,98,12,12,6681.483274,2050.0,381.0,60.0,832.1143480000001,160.0,28.0,0.0,3172.483274,1020.1143480000001,0.0,248,88,3,0,0,1245000065,True,,9172.483274,0.0,edge
11,11205.492481,11205.492481,1073.0,0.0,0.0,10132.492481,11,10,True,False,False,0,0,113,113,11,11,8138.492480999999,2035.0,374.0,658.0,0,0,0,0,5205.492480999999,0.0,0.0,279,99,1,200,0,1245000066,True,,11205.492481,0.0,cluster
15,8919.145946,6680.085653,6241.850562,2239.0602930000005,0.2510397639590324,2677.295384000001,14,13,False,False,False,40,40,52,50,15,15,6936.145946000001,1615.0,293.0,75.0,2006.0602930000005,200.0,33.0,0.0,2919.1459460000005,2239.0602930000005,0.0,155,50,2,0,1,1245000067,True,,8919.145946,0.0,outward
16,9412.05976,9412.05976,4597.97914,0.0,0.0,4814.08062,16,10,True,False,False,0,0,9,9,16,16,7100.05976,1395.0,255.0,662.0,0,0,0,0,3412.05976,0.0,0.0,60,0,6,193,0,1245000068,True,,9412.05976,0.0,area
12,9627.424576,9627.424576,6135.424544,0.0,0.0,3492.000031999999,11,7,False,False,False,0,0,126,120,12,12,6931.424575999999,2215.0,415.0,66.0,0,0,0,0,3627.4245759999994,0.0,0.0,248,96,5,1,1,1245000069,True,,9627.424576,0.0,edge
14,8391.490364,2522.630494,1289.0,5868.859869999999,0.6993823046234746,7102.490363999999,14,14,True,True,False,144,144,60,60,14,14,6861.490363999999,1240.0,217.0,73.0,5028.859869999999,720.0,120.0,0.0,2391.4903639999993,2391.4903639999993,0.0,186,60,0,0,0,1245000070,True,,8391.490364,0.0,cluster
10,11236.285019,11236.285019,8456.055554,0.0,0.0,2780.2294650000003,4,2,False,False,False,0,0,200,184,10,10,7760.285019000001,2790.0,525.0,161.0,0,0,0,0,5236.285019000001,0.0,0.0,310,130,8,37,6,1245000071,True,,11236.285019,0.0,outward
12,12280.60318,12280.60318,1907.0,0.0,0.0,10373.60318,12,8,True,False,False,0,0,135,134,12,12,9428.60318,2050.0,376.0,426.0,0,0,0,0,6280.60318,0.0,0.0,248,104,4,122,0,1245000072,True,,12280.60318,0.0,area
15,10026.629116,10026.629116,5145.012184,0.0,0.0,4881.616932,15,11,True,False,False,0,0,65,63,15,15,7675.629116,1920.0,353.0,78.0,0,0,0,0,4026.629116,0.0,0.0,155,55,4,0,0,1245000073,True,,10026.629116,0.0,edge
13,8603.081868,6195.664934,5288.013362,2407.416933999999,0.27983192197142986,3315.0685059999996,13,12,True,False,False,63,63,69,68,13,13,6850.081867999999,1430.0,255.0,68.0,2038.416933999999,315.0,54.0,0.0,2603.0818679999993,2407.416933999999,0.0,217,68,1,1,0,1245000074,True,,8603.081868,0.0,cluster
13,14495.540944,14495.540944,8397.798102,0.0,0.0,6097.742842,6,3,False,False,False,0,0,190,176,13,13,10062.540944,2800.0,521.0,1112.0,0,0,0,0,8495.540944,0.0,0.0,217,84,10,349,7,1245000075,True,,14495.540944,0.0,outward
16,5558.418793,5558.418793,5180.007102,0.0,0.0,378.41169100000025,16,16,True,True,True,0,0,0,0,16,16,4224.418793,1050.0,195.0,89.0,0,0,0,0,0.0,0.0,0.0,61,0,0,0,0,1245000076,True,,5558.418793,0.0,area
15,9356.297665,9356.297665,4884.688336,0.0,0.0,4471.609329,15,14,True,False,False,0,0,65,64,15,15,7223.297665,1730.0,316.0,87.0,0,0,0,0,3356.297665,0.0,0.0,155,55,1,0,0,1245000077,True,,9356.297665,0.0,edge
16,3709.181201,3709.181201,1601.047923,0.0,0.0,2108.133278,16,16,True,True,False,0,0,0,0,16,16,2650.181201,460.0,81.0,518.0,0,0,0,0,0.0,0.0,0.0,19,0,0,0,0,1245000078,True,,3709.181201,0.0,cluster
13,10072.838759,10072.838759,8738.588732,0.0,0.0,1334.250027,12,4,False,False,False,0,0,138,122,13,13,6968.838759,2555.0,481.0,68.0,0,0,0,0,4072.838759,0.0,0.0,217,84,9,0,1,1245000079,True,,10072.838759,0.0,outward
12,9426.523692,9349.079588,6950.946629,77.44410400000015,0.008215552894194131,2475.5770630000006,11,9,False,False,False,8,8,104,99,12,12,7144.523692000001,1875.0,344.0,63.0,30.444104000000152,40.0,7.0,0.0,3426.5236920000007,77.44410400000015,0.0,248,88,3,1,1,1245000080,True,,9426.523692,0.0,area
14,9644.133158,9644.133158,4495.776748,0.0,0.0,5148.35641,14,12,True,False,False,0,0,80,77,14,14,7284.133158000001,1925.0,356.0,79.0,0,0,0,0,3644.1331580000005,0.0,0.0,186,66,2,1,0,1245000081,True,,9644.133158,0.0,edge
13,8069.778012,1914.167516,655.18485,6155.610495999999,0.7627979960348876,7414.593162,13,13,True,True,False,182,182,63,63,13,13,6505.778012,1275.0,224.0,65.0,5089.610495999999,910.0,156.0,0.0,2069.7780119999998,2069.7780119999998,0.0,217,63,0,0,0,1245000082,True,,8069.778012,0.0,cluster
16,6702.416883,6702.416883,3990.310462,0.0,0.0,2712.106421,16,15,True,False,False,0,0,3,3,16,16,4890.416883,1235.0,230.0,347.0,0,0,0,0,702.4168829999999,0.0,0.0,52,0,1,89,0,1245000083,True,,6702.416883,0.0,outward
11,10991.890482,10991.890482,4478.809392,0.0,0.0,6513.081090000001,11,6,True,False,False,0,0,150,149,11,11,8184.890482000001,2265.0,418.0,124.0,0,0,0,0,4991.890482000001,0.0,0.0,279,108,5,22,0,1245000084,True,,10991.890482,0.0,area
10,10734.779921,10734.779921,7079.675078,0.0,0.0,3655.104842999999,9,3,False,False,False,0,0,165,157,10,10,7610.779920999999,2585.0,486.0,53.0,0,0,0,0,4734.779920999999,0.0,0.0,310,120,7,1,1,1245000085,True,,10734.779921,0.0,edge
10,11062.838829,11062.838829,2808.327668,0.0,0.0,8254.511161,10,9,True,False,False,0,0,135,135,10,10,8245.838829,1930.0,354.0,533.0,0,0,0,0,5062.838829,0.0,0.0,310,120,1,159,0,1245000086,True,,11062.838829,0.0,cluster
16,14987.622616,14987.622616,9408.237466,0.0,0.0,5579.38515,10,6,False,False,False,0,0,161,146,16,16,10799.622616,2450.0,452.0,1286.0,0,0,0,0,8987.622616,0.0,0.0,118,42,10,401,6,1245000087,True,,14987.622616,0.0,outward
13,9368.626938,8692.367308,6675.51323,676.2596299999987,0.07218343034420853,2693.113708,12,8,False,False,False,14,14,93,87,13,13,7244.626937999999,1740.0,319.0,65.0,594.2596299999987,70.0,12.0,0.0,3368.6269379999994,676.2596299999987,0.0,217,77,5,0,1,1245000088,True,,9368.626938,0.0,area
12,12517.072543,12517.072543,5655.699885,0.0,0.0,6861.372658,12,6,True,False,False,0,0,126,120,12,12,9247.072543,2300.0,430.0,540.0,0,0,0,0,6517.072543,0.0,0.0,248,96,6,159,0,1245000089,True,,12517.072543,0.0,edge
15,10428.867227,10428.867227,683.0,0.0,0.0,9745.867227,15,9,True,False,False,0,0,92,92,15,15,8188.867227000001,1745.0,315.0,180.0,0,0,0,0,4428.867227000001,0.0,0.0,155,50,6,34,0,1245000090,True,,10428.867227,0.0,cluster
16,8963.5065,8963.5065,8176.994827,0.0,0.0,786.5116729999991,13,8,False,False,False,0,0,65,55,16,16,6640.5064999999995,1870.0,346.0,107.0,0,0,0,0,2963.5064999999995,0.0,0.0,97,25,8,7,3,1245000091,True,,8963.5065,0.0,outward
15,8956.867201,6314.649528,5760.559171,2642.217672999999,0.2949935076301015,3196.3080299999992,15,13,True,False,False,50,50,55,54,15,15,7117.867200999999,1495.0,269.0,75.0,2352.217672999999,250.0,40.0,0.0,2956.867200999999,2642.217672999999,0.0,155,54,2,0,0,1245000092,True,,8956.867201,0.0,area
16,8431.833404,8431.833404,5976.17974,0.0,0.0,2455.6536640000013,16,11,True,False,False,0,0,8,6,16,16,6252.833404000001,1600.0,298.0,281.0,0,0,0,0,2431.833404000001,0.0,0.0,76,0,5,66,0,1245000093,True,,8431.833404,0.0,edge
