N,seed,C,completion,virtual_time_s,time_per_clear_s,path_length_m,macro_steps,error
10,710000068,10,True,2846.689979,284.6689979,10443.449907470098,19,
10,710000069,10,True,3333.507471,333.3507471,12762.53736804992,29,
10,710000070,10,True,2745.602441,274.5602441,10523.012206069967,27,
10,710000071,10,True,3127.792925,312.7792925,11528.964625575047,32,
10,710000072,10,True,3008.979289,300.8979289,11129.89644713429,23,
10,710000073,10,True,4002.233402,400.2233402,15901.166998566809,28,
10,710000074,10,True,2456.817664,245.68176640000001,9024.088316651432,18,
10,710000075,10,True,3416.027601,341.60276009999995,12910.138008817923,28,
10,710000076,10,True,3364.742824,336.4742824,12833.714117422433,28,
10,710000077,10,True,3310.762657,331.0762657,12808.813269765018,28,
10,710000078,10,True,2619.358979,261.9358979,9906.794908711447,25,
10,710000079,10,True,3660.746795,366.0746795,14223.733986719712,28,
10,710000080,10,True,2971.984339,297.1984339,10909.921692255184,24,
10,710000081,10,True,3253.248339,325.32483390000004,12131.241687078218,27,
10,710000082,10,True,2562.531563,256.2531563,9692.657818946722,20,
10,710000083,10,True,3413.19378,341.31937800000003,13035.968904563148,28,
10,710000084,10,True,3398.349096,339.8349096,13276.745474218063,24,
10,710000085,10,True,3427.014979,342.7014979,13095.074881699784,28,
10,710000086,10,True,2239.210316,223.92103160000002,8171.051577053542,20,
10,710000087,10,True,3084.123598,308.4123598,11460.617992497586,31,
10,710000088,10,True,3171.156486,317.1156486,11995.782426082818,27,
10,710000089,10,True,3196.121344,319.6121344,11810.606729065901,31,
10,710000090,10,True,2319.400158,231.9400158,8612.00079352457,18,
10,710000091,10,True,3285.848982,328.5848982,12604.244898020712,28,
10,710000092,10,True,2669.267926,266.9267926,9671.33963228795,22,
10,710000093,10,True,3059.216253,305.9216253,11216.08126830485,28,
10,710000094,10,True,2703.580048,270.3580048,10217.900229163753,25,
10,710000095,10,True,3340.323409,334.0323409,12771.617046942398,27,
10,710000096,10,True,2836.16241,283.616241,10440.8120512345,23,
10,710000097,10,True,3581.311751,358.1311751,13861.558765031252,28,
10,710000098,10,True,2467.478688,246.74786880000002,9312.39343927228,19,
10,710000099,10,True,3123.830182,312.38301820000004,11879.150912934283,28,
10,710000100,10,True,3476.517582,347.6517582,13667.58790742607,25,
10,710000101,10,True,3154.806515,315.4806515,11714.032588351394,29,
10,710000102,10,True,2446.661151,244.66611509999998,9123.305749963585,21,
10,710000103,10,True,3593.551147,359.3551147,14087.75573378905,28,
10,710000104,10,True,2799.835987,279.9835987,10349.1799356719,20,
10,710000105,10,True,3471.698421,347.1698421,13253.492109020857,28,
10,710000106,10,True,2464.893892,246.4893892,9239.469456247163,23,
10,710000107,10,True,3322.723524,332.2723524,12583.617617725042,31,
10,710000108,10,True,3213.089478,321.3089478,12315.447392425573,25,
10,710000109,10,True,3982.611805,398.2611805,15803.05903779798,27,
10,710000110,10,True,2375.265838,237.52658379999997,8721.329186263245,24,
10,710000111,10,True,3670.265659,367.02656590000004,14216.328286721175,29,
10,710000112,10,True,3307.118406,330.7118406,12735.59203736746,23,
10,710000113,10,True,3163.412303,316.3412303,12067.06151568548,27,
10,710000114,10,True,2465.425808,246.5425808,8992.129033598867,22,
10,710000115,10,True,3691.522514,369.15225139999995,14472.612559357463,28,
10,710000116,10,True,2920.138292,292.01382920000003,10800.691464787724,18,
10,710000117,10,True,3915.407362,391.54073619999997,15437.036807416958,29,
10,710000118,10,True,2652.875918,265.28759180000003,9774.37959112556,19,
10,710000119,10,True,2929.148026,292.9148026,10815.740130488,31,
10,710000120,10,True,2869.174007,286.91740070000003,10530.870029684134,21,
10,710000121,10,True,3602.178647,360.2178647,13965.893246531996,28,
10,710000122,10,True,2210.905619,221.0905619,7964.528093548577,18,
10,710000123,10,True,3234.780481,323.47804809999997,12123.90240367538,29,
10,710000124,10,True,3347.730869,334.7730869,12688.65434416751,25,
10,710000125,10,True,3385.253322,338.5253322,12666.266599025928,28,
10,710000126,10,True,2457.998174,245.7998174,9159.990877167933,21,
10,710000127,10,True,3730.580383,373.0580383,14577.901919133186,28,
10,710000128,10,True,2765.501536,276.55015360000004,9902.50767994647,24,
10,710000129,10,True,3458.649052,345.8649052,13378.245255382513,28,
10,710000130,10,True,2370.725812,237.0725812,8838.629048898856,24,
10,710000131,10,True,3527.59127,352.759127,13657.956371602004,31,
10,710000132,10,True,2602.974931,260.2974931,9439.874643688694,20,
10,710000133,10,True,3258.221304,325.8221304,12416.1065214039,29,
10,710000134,10,True,2439.4103,243.94103,9142.051491274087,21,
10,710000135,10,True,3489.761573,348.9761573,13208.80787756807,31,
10,710000136,10,True,3356.855173,335.6855173,12904.275871183085,25,
10,710000137,10,True,3353.501053,335.3501053,12872.505277540895,30,
10,710000138,10,True,2271.351168,227.13511680000002,8361.755840400816,19,
10,710000139,10,True,3611.582632,361.1582632,14172.91316563827,28,
10,710000140,10,True,3239.096808,323.9096808,12305.484034897288,26,
10,710000141,10,True,2978.908973,297.8908973,10949.5448638824,31,
10,710000142,10,True,2568.501218,256.8501218,9602.506089002702,24,
10,710000143,10,True,3303.995825,330.3995825,12269.979115635775,26,
10,710000144,10,True,2761.872359,276.1872359,10269.361800663142,21,
10,710000145,10,True,3346.054804,334.6054804,12940.274021092771,28,
10,710000146,10,True,2215.655233,221.5655233,8143.276160533736,18,
10,710000147,10,True,3307.89,330.789,12524.450007691468,29,
10,710000148,10,True,4083.602338,408.3602338,16298.011710284547,23,
10,710000149,10,True,3392.550358,339.2550358,13072.751784974236,30,
10,710000150,10,True,2435.988188,243.59881879999998,9049.940945676264,25,
10,710000151,10,True,3559.626347,355.96263469999997,13628.131738384976,28,
10,710000152,10,True,2984.097279,298.4097279,11120.486405014566,24,
10,710000153,10,True,3390.094745,339.0094745,13160.473721484286,28,
10,710000154,10,True,2736.271714,273.6271714,10351.35857533689,20,
10,710000155,10,True,3261.535121,326.1535121,12217.675608499694,25,
10,710000156,10,True,3040.14833,304.014833,11385.741647091194,21,
10,710000157,10,True,3658.216277,365.8216277,14406.08137350045,28,
10,710000158,10,True,2423.50445,242.35044499999998,8987.522267211967,20,
10,710000159,10,True,3579.07363,357.907363,13960.36815626329,30,
10,710000160,10,True,3105.936975,310.5936975,11729.684872559825,26,
10,710000161,10,True,3285.505475,328.5505475,12202.527373777866,29,
10,710000162,10,True,2402.668271,240.2668271,8768.34135344151,18,
10,710000163,10,True,3488.771116,348.8771116,13658.855579571298,28,
10,710000164,10,True,3305.958439,330.5958439,12909.792181727438,22,
10,710000165,10,True,3147.829704,314.7829704,11634.148514450659,27,
10,710000166,10,True,2625.463703,262.5463703,9662.318510784868,22,
10,710000167,10,True,3208.076153,320.8076153,12245.380761990224,31,
10,710000168,10,True,3131.204369,313.1204369,11936.021844292538,21,
10,710000169,10,True,3552.977294,355.2977294,13529.886474798303,29,
10,710000170,10,True,2269.414854,226.9414854,8342.074269109167,18,
10,710000171,10,True,3386.330746,338.6330746,12901.653736258811,25,
10,710000172,10,True,3569.099752,356.9099752,13905.498755457576,27,
10,710000173,10,True,3266.349197,326.6349197,12411.745964439286,27,
10,710000174,10,True,2575.727247,257.5727247,9823.636228772382,22,
10,710000175,10,True,3391.298985,339.12989849999997,12971.494917120022,28,
10,710000176,10,True,2910.36803,291.036803,10911.840143888467,22,
10,710000177,10,True,3104.513223,310.4513223,11722.566111501335,30,
10,710000178,10,True,2432.388297,243.2388297,9071.941480185189,23,
10,710000179,10,True,3153.014401,315.3014401,11855.072015624115,30,
10,710000180,10,True,3270.133298,327.0133298,12590.666487032373,28,
10,710000181,10,True,3445.395756,344.5395756,12881.978787563263,28,
10,710000182,10,True,2672.841455,267.2841455,10289.207269766728,21,
10,710000183,10,True,3573.290799,357.3290799,13636.453989400516,26,
10,710000184,10,True,3014.531091,301.4531091,11247.655447154015,21,
10,710000185,10,True,3252.268218,325.22682180000004,12526.34109523998,31,
10,710000186,10,True,2308.300195,230.8300195,8471.50098123774,18,
10,710000187,10,True,3381.906736,338.19067359999997,12789.533681713685,28,
10,710000188,10,True,2876.269953,287.6269953,10806.349778815751,21,
10,710000189,10,True,3721.114596,372.1114596,14555.572959674839,28,
10,710000190,10,True,2382.804018,238.2804018,8819.020094564117,23,
10,710000191,10,True,3256.963241,325.69632409999997,12414.816197853213,30,
10,710000192,10,True,3315.43204,331.543204,12452.160188870806,23,
10,710000193,10,True,3999.83233,399.98323300000004,15694.161644793576,28,
10,710000194,10,True,2323.663066,232.3663066,8668.315323126792,19,
10,710000195,10,True,3467.082915,346.7082915,13145.414573083643,30,
10,710000196,10,True,3292.433335,329.2433335,12632.16667691919,26,
10,710000197,10,True,3107.518798,310.7518798,11737.59398758985,31,
10,710000198,10,True,2572.144317,257.2144317,9720.72158236528,22,
10,710000199,10,True,4113.605933,411.3605933,16258.029653583577,29,
10,710000200,10,True,2796.676165,279.6676165,10353.38082801888,22,
10,710000201,10,True,3711.715842,371.1715842,14458.579212821187,27,
10,710000202,10,True,2474.6965,247.46965,9253.482502529992,21,
10,710000203,10,True,3223.012296,322.3012296,12270.06147135206,29,
10,710000204,10,True,2773.204174,277.3204174,10161.020866457131,23,
10,710000205,10,True,3096.397917,309.6397917,11726.989587492597,28,
10,710000206,10,True,2204.090442,220.4090442,8075.452209809966,18,
10,710000207,10,True,3291.697583,329.1697583,12593.487908797964,27,
10,710000208,10,True,3274.96057,327.496057,12489.80285179061,24,
10,710000209,10,True,3423.91035,342.391035,12879.551756445875,31,
10,710000210,10,True,2466.057255,246.6057255,9130.2862649151,22,
10,710000211,10,True,3421.14178,342.114178,13295.708894907684,28,
10,710000212,10,True,2993.652036,299.3652036,11108.260190879799,19,
10,710000213,10,True,3287.663044,328.76630439999997,12473.315214094471,27,
10,710000214,10,True,2455.29125,245.52912500000002,9151.456253993576,25,
10,710000215,10,True,3542.898023,354.2898023,13704.490116557892,31,
10,710000216,10,True,2796.094635,279.6094635,10340.473174149352,21,
10,710000217,10,True,3712.939307,371.29393070000003,14719.696522427603,28,
10,710000218,10,True,2553.451448,255.34514479999999,9667.257233377877,20,
10,710000219,10,True,3236.192895,323.61928950000004,12025.964472305512,29,
10,710000220,10,True,3658.175738,365.8175738,14360.878681219554,28,
10,710000221,10,True,3277.934614,327.79346139999996,12339.67307562575,28,
10,710000222,10,True,2689.199665,268.9199665,9895.99831615626,18,
10,710000223,10,True,3777.927739,377.79277390000004,14734.63869368248,28,
10,710000224,10,True,2929.720693,292.97206930000004,10838.603466171084,21,
10,710000225,10,True,3416.083203,341.6083203,13220.416010403886,31,
10,710000226,10,True,2550.738289,255.0738289,9438.69145190622,23,
10,710000227,10,True,3320.116334,332.0116334,12645.581666272197,30,
10,710000228,10,True,3350.392199,335.0392199,12991.960998198118,21,
10,710000229,10,True,3652.974991,365.2974991,14039.874957907658,29,
10,710000230,10,True,2364.169464,236.4169464,8790.847330064445,22,
10,710000231,10,True,3333.693589,333.3693589,12598.46794757213,29,
10,710000232,10,True,3304.2756,330.42755999999997,12471.378000602375,26,
10,710000233,10,True,3534.399701,353.4399701,13666.998494448984,30,
10,710000234,10,True,2259.878879,225.98788789999998,8289.39439668702,18,
10,710000235,10,True,3498.633666,349.8633666,13253.168326595982,28,
10,710000236,10,True,2720.879922,272.08799220000003,9834.399605661984,21,
10,710000237,10,True,3132.748108,313.27481079999995,12043.740537473548,29,
10,710000238,10,True,2535.231977,253.5231977,9666.159872871276,23,
10,710000239,10,True,3250.823782,325.0823782,12094.118907654674,31,
10,710000240,10,True,3013.774593,301.3774593,11413.872966824183,25,
10,710000241,10,True,3480.387577,348.0387577,13266.937890157016,27,
10,710000242,10,True,2413.278052,241.3278052,8826.390255450058,25,
10,710000243,10,True,3140.221392,314.02213919999997,11846.106959033732,28,
10,710000244,10,True,4105.311271,410.53112709999994,16306.556342304855,28,
10,710000245,10,True,2899.500039,289.9500039,10252.50019683129,32,
10,710000246,10,True,2534.702803,253.4702803,9558.514011302485,18,
10,710000247,10,True,3551.268051,355.1268051,13521.340252119086,28,
10,710000248,10,True,3098.389004,309.8389004,11826.945011734722,25,
10,710000249,10,True,2905.4992,290.54992000000004,10792.496000449833,31,
10,710000250,10,True,2704.309,270.4309,10301.544989390068,28,
10,710000251,10,True,3272.319739,327.2319739,12576.598688379843,31,
10,710000252,10,True,3029.794564,302.9794564,11383.97282219438,23,
10,710000253,10,True,3535.057977,353.5057977,13690.28987579197,28,
10,710000254,10,True,2305.67196,230.56719600000002,8503.359811383913,18,
10,710000255,10,True,3522.759598,352.2759598,13673.79798710324,29,
10,710000256,10,True,3112.048858,311.2048858,11835.24429362738,26,
10,710000257,10,True,3399.391784,339.9391784,12816.958916647027,31,
10,710000258,10,True,2311.910306,231.19103060000003,8574.551537832464,22,
10,710000259,10,True,3947.342845,394.7342845,15491.714228777586,29,
10,710000260,10,True,2601.70864,260.170864,9518.54319879629,19,
10,710000261,10,True,3350.075963,335.0075963,12925.379825010448,30,
10,710000262,10,True,2354.714395,235.4714395,8533.571971090061,21,
10,710000263,10,True,3201.434914,320.1434914,12217.174565165338,30,
10,710000264,10,True,3328.584639,332.8584639,12772.923195294317,22,
10,710000265,10,True,3929.900216,392.9900216,15664.501080413731,27,
10,710000266,10,True,2400.483836,240.0483836,8842.419185369394,20,
10,710000267,10,True,3632.422676,363.2422676,14312.113387427959,29,
10,710000268,10,True,3691.503503,369.1503503,14412.51751299187,27,
10,710000269,10,True,3240.58021,324.058021,12002.901055652308,26,
10,710000270,10,True,2688.503851,268.8503851,10252.519253893102,20,
10,710000271,10,True,4137.521858,413.7521858,16652.60928367791,28,
10,710000272,10,True,3104.953988,310.49539880000003,11924.769939871887,24,
10,710000273,10,True,3501.349101,350.13491009999996,13586.74549813837,29,
10,710000274,10,True,2891.393151,289.13931510000003,10686.965762408761,22,
10,710000275,10,True,3376.935011,337.6935011,12904.67505896328,30,
10,710000276,10,True,2845.496025,284.5496025,10482.480125532198,20,
10,710000277,10,True,3524.752384,352.47523839999997,13538.761917638898,27,
10,710000278,10,True,2377.310897,237.73108969999998,8941.554490281234,18,
10,710000279,10,True,3871.445757,387.1445757,15202.228802046373,29,
10,710000280,10,True,3299.442204,329.9442204,12492.211021204817,26,
10,710000281,10,True,3087.913352,308.7913352,11594.566756404432,31,
10,710000282,10,True,2446.504395,244.6504395,9167.521973136205,20,
10,710000283,10,True,3997.209129,399.7209129,15966.045642625862,28,
10,710000284,10,True,2842.422401,284.2422401,10457.111987093966,24,
10,710000285,10,True,3352.482795,335.24827949999997,12382.413964376714,27,
10,710000286,10,True,2467.174706,246.71747059999998,9010.873527811656,24,
10,710000287,10,True,3253.445796,325.3445796,12197.228971388984,33,
10,710000288,10,True,2673.920122,267.3920122,9939.600609026304,19,
10,710000289,10,True,3802.740101,380.2740101,14698.7004916235,28,
10,710000290,10,True,2466.998054,246.6998054,9174.99026894795,22,
10,710000291,10,True,3328.507683,332.85076829999997,12817.538405449051,30,
10,710000292,10,True,3178.892599,317.88925989999996,12114.463001748773,25,
10,710000293,10,True,3141.506768,314.15067680000004,12077.533840476513,29,
10,710000294,10,True,2664.330624,266.43306240000004,10096.653124429298,21,
10,710000295,10,True,3771.741699,377.17416990000004,14778.708486268662,28,
10,710000296,10,True,3342.747138,334.27471380000003,13178.735681865635,23,
10,710000297,10,True,3383.772354,338.3772354,12753.861766509759,29,
10,710000298,10,True,2834.01461,283.40146100000004,10275.073062720981,27,
10,710000299,10,True,3203.710989,320.3710989,11973.554927907591,31,
10,710000300,10,True,2826.533135,282.6533135,10497.665670507933,22,
10,710000301,10,True,3541.865308,354.1865308,13729.326540797616,29,
10,710000302,10,True,2280.440413,228.04404129999998,8457.202060827793,18,
10,710000303,10,True,3506.971819,350.6971819,13584.85909212916,27,
10,710000304,10,True,3058.605028,305.8605028,11528.025137181483,26,
10,710000305,10,True,3299.172792,329.9172792,12645.863966462357,32,
10,710000306,10,True,2378.535941,237.8535941,8837.679712191559,20,
10,710000307,10,True,3438.903734,343.8903734,13004.518675797011,31,
10,710000308,10,True,2748.039198,274.8039198,10020.195999780119,19,
10,710000309,10,True,3387.639486,338.7639486,12828.197433541065,29,
10,710000310,10,True,2598.133743,259.81337429999996,9815.66872576489,26,
10,710000311,10,True,3351.173631,335.11736310000003,12655.868154335298,29,
10,710000312,10,True,3408.035502,340.8035502,12965.177497875675,25,
10,710000313,10,True,3317.387597,331.7387597,12746.937966677422,28,
10,710000314,10,True,2236.861026,223.6861026,8229.305121545538,19,
10,710000315,10,True,3277.075437,327.7075437,12530.37718703328,29,
10,710000316,10,True,3232.428156,323.2428156,12102.140771495513,26,
10,710000317,10,True,3237.190038,323.7190038,12260.950189194184,30,
10,710000318,10,True,2231.208607,223.1208607,8056.04303105227,20,
10,710000319,10,True,3337.834179,333.7834179,12839.17089569339,28,
10,710000320,10,True,3268.516459,326.8516459,12437.582299478838,21,
10,710000321,10,True,3247.076918,324.7076918,12390.384602804997,28,
10,710000322,10,True,2245.89163,224.589163,8194.458151747118,20,
10,710000323,10,True,3236.388869,323.6388869,12271.944341460417,32,
10,710000324,10,True,3129.309975,312.9309975,12076.549880689232,22,
10,710000325,10,True,4016.187117,401.6187117,16080.935568160037,29,
10,710000326,10,True,2344.695027,234.46950270000002,8623.475141114266,24,
10,710000327,10,True,3420.510205,342.0510205,13182.55102045393,29,
10,710000328,10,True,3385.434461,338.5434461,12947.172283788874,26,
10,710000329,10,True,3179.864592,317.9864592,12219.322946963777,31,
10,710000330,10,True,2347.23419,234.723419,8546.170941777855,20,
10,710000331,10,True,3387.918493,338.7918493,13149.592474664054,28,
10,710000332,10,True,2858.399209,285.83992090000004,10741.996044515156,21,
10,710000333,10,True,3702.748282,370.2748282,14483.741409641118,29,
10,710000334,10,True,2455.248153,245.5248153,9056.240769893251,22,
10,710000335,10,True,3215.238956,321.5238956,12101.194776156222,30,
10,710000336,10,True,3178.255693,317.8255693,12086.278473415874,23,
10,710000337,10,True,3245.567144,324.55671440000003,12267.83571325941,28,
10,710000338,10,True,2472.539002,247.2539002,9282.6950107306,18,
10,710000339,10,True,3309.53636,330.953636,12542.681800847176,30,
10,710000340,10,True,3371.783712,337.1783712,13033.918560378901,26,
10,710000341,10,True,3194.225379,319.4225379,12091.126889392659,31,
10,710000342,10,True,2214.050526,221.4050526,8125.252617906048,19,
10,710000343,10,True,3545.220891,354.5220891,13841.104450554752,28,
10,710000344,10,True,2634.667164,263.4667164,9388.33582485958,21,
10,710000345,10,True,3295.28349,329.528349,12506.417456968467,28,
10,710000346,10,True,2626.127918,262.6127918,10025.63959467097,23,
10,710000347,10,True,2938.894052,293.8894052,10734.470260660895,27,
10,710000348,10,True,3216.379692,321.6379692,12191.89848279591,22,
10,710000349,10,True,3078.451654,307.8451654,11767.258266352579,28,
10,710000350,10,True,2241.826522,224.18265219999998,8144.132611697152,18,
10,710000351,10,True,3488.747658,348.8747658,13478.738286533258,27,
10,710000352,10,True,3236.733517,323.6733517,12368.667574311992,24,
10,710000353,10,True,3331.62404,333.16240400000004,12698.12021099591,27,
10,710000354,10,True,2411.471093,241.1471093,8957.355468516103,22,
10,710000355,10,True,3773.845069,377.3845069,14854.225356115692,29,
10,710000356,10,True,2920.748767,292.0748767,11078.743840718675,20,
10,710000357,10,True,3518.638288,351.8638288,13443.191438908249,28,
10,710000358,10,True,2929.76622,292.976622,11248.831100282177,24,
10,710000359,10,True,3446.309242,344.6309242,13191.54621933744,30,
10,710000360,10,True,3359.931304,335.99313040000004,12889.656530169126,22,
10,710000361,10,True,3645.341672,364.5341672,14071.708372507046,28,
10,710000362,10,True,2692.853883,269.2853883,10379.26940569092,21,
10,710000363,10,True,3393.494665,339.3494665,12887.473323668675,30,
10,710000364,10,True,3065.858374,306.5858374,11799.291865740632,25,
10,710000365,10,True,3534.781826,353.47818259999997,13518.909127794148,32,
10,710000366,10,True,2634.122332,263.4122332,10080.611654769102,21,
10,710000367,10,True,3690.733906,369.0733906,14343.66951916782,28,
10,710000368,10,True,2905.461003,290.5461003,10742.305015283288,24,
10,710000369,10,True,3456.81547,345.681547,13154.077356980108,29,
10,710000370,10,True,2941.208475,294.12084749999997,11431.042365451152,23,
10,710000371,10,True,3266.160581,326.61605810000003,12525.802917530375,30,
10,710000372,10,True,3200.516958,320.0516958,12287.584796625124,22,
10,710000373,10,True,3417.062474,341.7062474,13105.312356327217,28,
10,710000374,10,True,2385.589063,238.5589063,8907.945319877766,20,
10,710000375,10,True,3199.509527,319.9509527,12177.54762932881,29,
10,710000376,10,True,3280.094883,328.00948830000004,12200.474421205241,26,
10,710000377,10,True,3226.611109,322.6611109,12223.05554167654,28,
10,710000378,10,True,2456.906797,245.6906797,9039.533978444113,18,
10,710000379,10,True,3282.576345,328.2576345,12167.881735314506,29,
10,710000380,10,True,2914.103848,291.41038480000003,10900.519230207907,21,
10,710000381,10,True,3046.536057,304.65360569999996,11237.680278321775,27,
10,710000382,10,True,2472.236175,247.2236175,9196.180860613673,24,
10,710000383,10,True,3235.025718,323.5025718,12110.128584700355,30,
10,710000384,10,True,2797.014585,279.7014585,10265.072923911897,22,
10,710000385,10,True,4280.370171,428.03701709999996,16876.850854064556,29,
10,710000386,10,True,2532.717858,253.2717858,9593.589294091038,21,
10,710000387,10,True,3426.81566,342.68156600000003,12914.078299673538,29,
10,710000388,10,True,3222.060159,322.2060159,12490.300799127494,25,
10,710000389,10,True,3384.620405,338.4620405,12918.102046079792,31,
10,710000390,10,True,2638.059979,263.8059979,9970.299890082319,18,
10,710000391,10,True,3543.45377,354.345377,13512.268846665058,28,
10,710000392,10,True,3055.644215,305.5644215,11568.221082116703,20,
10,710000393,10,True,3234.882099,323.4882099,12189.410493476587,29,
10,710000394,10,True,2917.622948,291.7622948,11308.114737535934,24,
10,710000395,10,True,3200.471436,320.04714359999997,12127.35717088229,30,
10,710000396,10,True,3249.64998,324.96499800000004,12418.249896833167,21,
10,710000397,10,True,3789.087639,378.9087639,14855.438187684487,28,
10,710000398,10,True,2400.158267,240.0158267,8990.791339204763,21,
10,710000399,10,True,3205.021068,320.5021068,11815.105338957237,29,
10,710000400,10,True,3045.686543,304.5686543,11268.43272898862,23,
10,710000401,10,True,3432.426498,343.2426498,12942.132484296986,32,
10,710000402,10,True,2379.686165,237.9686165,8823.430825355214,21,
10,710000403,10,True,3868.786175,386.8786175,15388.930878428353,28,
10,710000404,10,True,3090.434535,309.0434535,11797.172690345647,22,
10,710000405,10,True,3300.416536,330.0416536,12267.082679224313,28,
10,710000406,10,True,2827.589478,282.7589478,10457.947392941132,21,
10,710000407,10,True,3057.410819,305.74108190000004,11722.054083423498,30,
10,710000408,10,True,2983.534265,298.35342649999996,11362.671323346642,22,
10,710000409,10,True,3562.999514,356.2999514,13679.997581342324,27,
10,710000410,10,True,2383.799889,238.3799889,8883.999444242922,19,
10,710000411,10,True,3397.879051,339.7879051,12809.395253430994,31,
10,710000412,10,True,3126.420784,312.6420784,11882.103924276933,24,
10,710000413,10,True,3151.096156,315.1096156,11945.480788043737,30,
10,710000414,10,True,2371.519059,237.15190590000003,8842.595294426927,20,
10,710000415,10,True,3443.087252,344.30872519999997,13245.436260496499,28,
10,710000416,10,True,3065.582237,306.5582237,11377.911186272297,23,
