model,seed,N,C,completion,virtual_time_s,time_per_clear_s,macro_steps,error
baseline,419000247,16,16,True,3676.559665,229.7849790625,41,
baseline,419000248,16,16,True,3025.257557,189.0785973125,30,
baseline,419000249,12,12,True,3550.399965,295.86666375,33,
baseline,419000250,12,12,True,2991.519005,249.29325041666667,30,
baseline,419000251,15,15,True,3691.022322,246.06815479999997,39,
baseline,419000252,12,12,True,3086.45357,257.2044641666667,20,
baseline,419000253,12,12,True,4181.795698,348.48297483333334,34,
baseline,419000254,12,12,True,2545.183191,212.09859925,20,
baseline,419000255,14,14,True,3515.871301,251.13366435714286,42,
baseline,419000256,12,12,True,3573.963657,297.83030475,29,
baseline,419000257,10,10,True,3271.551701,327.15517009999996,30,
baseline,419000258,14,14,True,2294.666209,163.9047292142857,23,
baseline,419000259,10,10,True,3756.014637,375.6014637,30,
baseline,419000260,12,12,True,3281.691444,273.474287,27,
baseline,419000261,12,12,True,3517.082728,293.0902273333333,35,
baseline,419000262,12,12,True,2822.437939,235.20316158333333,27,
baseline,419000263,13,13,True,3501.862425,269.37403269230765,39,
baseline,419000264,13,13,True,3398.314173,261.40878253846154,27,
baseline,419000265,10,10,True,3707.400985,370.74009850000004,29,
baseline,419000266,12,12,True,2417.667651,201.47230425,21,
baseline,419000267,10,10,True,3429.504888,342.9504888,31,
baseline,419000268,16,16,True,4025.14878,251.57179875,34,
baseline,419000269,11,11,True,3313.040539,301.18550354545454,32,
baseline,419000270,12,12,True,2876.142809,239.67856741666665,20,
baseline,419000271,12,12,True,3958.575535,329.88129458333333,32,
baseline,419000272,12,12,True,3396.345392,283.0287826666667,24,
baseline,419000273,16,16,True,3818.095553,238.6309720625,41,
baseline,419000274,15,15,True,2578.669133,171.91127553333334,31,
baseline,419000275,12,12,True,3198.745383,266.56211525,34,
baseline,419000276,16,16,True,3587.774122,224.235882625,32,
baseline,419000277,13,13,True,3709.832145,285.37170346153846,37,
baseline,419000278,16,16,True,2211.11083,138.194426875,28,
baseline,419000279,14,14,True,3815.404588,272.52889914285714,40,
baseline,419000280,12,12,True,3377.228646,281.4357205,30,
baseline,419000281,12,12,True,3594.125495,299.51045791666667,34,
baseline,419000282,12,12,True,2537.174141,211.43117841666665,23,
baseline,419000283,10,10,True,3928.177003,392.81770029999996,29,
baseline,419000284,15,15,True,3234.906886,215.66045906666668,31,
baseline,419000285,16,16,True,4053.684896,253.355306,45,
baseline,419000286,15,15,True,2628.047597,175.20317313333334,29,
baseline,419000287,15,15,True,3703.429261,246.89528406666668,42,
baseline,419000288,13,13,True,3043.112551,234.08558084615385,23,
baseline,419000289,15,15,True,4071.459199,271.4306132666667,40,
baseline,419000290,10,10,True,2512.767625,251.2767625,20,
baseline,419000291,12,12,True,4344.509482,362.04245683333335,34,
baseline,419000292,14,14,True,3310.521195,236.46579964285712,31,
baseline,419000293,10,10,True,3210.910845,321.09108449999997,31,
baseline,419000294,11,11,True,2612.573587,237.50668972727271,19,
baseline,419000295,16,16,True,4423.533033,276.4708145625,43,
baseline,419000296,13,13,True,2841.254306,218.55802353846153,23,
baseline,419000297,13,13,True,3766.987402,289.7682616923077,34,
baseline,419000298,14,14,True,2862.319924,204.45142314285712,23,
baseline,419000299,14,14,True,3347.133464,239.0809617142857,36,
baseline,419000300,14,14,True,3401.069687,242.9335490714286,31,
baseline,419000301,12,12,True,4295.195805,357.93298375,33,
baseline,419000302,12,12,True,2433.513781,202.79281508333335,20,
baseline,419000303,16,16,True,3642.647692,227.66548075,43,
baseline,419000304,15,15,True,3662.287593,244.1525062,36,
baseline,419000305,12,12,True,3503.995592,291.9996326666667,36,
baseline,419000306,14,14,True,2583.756286,184.55402042857142,23,
baseline,419000307,14,14,True,3620.320491,258.5943207857143,36,
baseline,419000308,14,14,True,3378.039258,241.28851842857142,27,
baseline,419000309,13,13,True,3459.674969,266.1288437692308,37,
baseline,419000310,16,16,True,2589.428404,161.83927525,32,
baseline,419000311,10,10,True,3506.906258,350.6906258,28,
baseline,419000312,12,12,True,3011.808254,250.98402116666668,24,
baseline,419000313,11,11,True,3822.884236,347.53493054545453,30,
baseline,419000314,15,15,True,2187.728088,145.84853919999998,28,
baseline,419000315,16,16,True,3668.823474,229.301467125,41,
baseline,419000316,14,14,True,3483.642654,248.83161814285717,31,
baseline,419000317,10,10,True,3312.545065,331.2545065,31,
baseline,419000318,15,15,True,2545.172428,169.67816186666667,31,
baseline,419000319,13,13,True,4493.415013,345.64730869230766,38,
baseline,419000320,13,13,True,3098.605655,238.35428115384613,28,
baseline,419000321,15,15,True,3956.319151,263.75461006666666,41,
baseline,419000322,12,12,True,2673.79513,222.81626083333333,23,
baseline,419000323,11,11,True,3179.145569,289.0132335454545,31,
baseline,419000324,14,14,True,3555.067284,253.93337742857145,31,
baseline,419000325,11,11,True,3655.600512,332.32731927272727,30,
baseline,419000326,10,10,True,2466.460209,246.6460209,18,
baseline,419000327,11,11,True,3634.713434,330.428494,32,
baseline,419000328,16,16,True,3450.596249,215.6622655625,34,
baseline,419000329,15,15,True,3663.074928,244.2049952,44,
baseline,419000330,10,10,True,2451.769812,245.1769812,22,
baseline,419000331,11,11,True,4154.752617,377.70478336363635,31,
baseline,419000332,15,15,True,3176.475226,211.76501506666668,26,
baseline,419000333,13,13,True,3858.795746,296.830442,37,
baseline,419000334,16,16,True,2366.083008,147.880188,29,
baseline,419000335,12,12,True,3273.107075,272.7589229166667,35,
baseline,419000336,12,12,True,3167.907745,263.99231208333333,25,
baseline,419000337,14,14,True,4050.949022,289.3535015714286,37,
baseline,419000338,16,16,True,1396.521696,87.282606,25,
baseline,419000339,10,10,True,3583.336985,358.33369849999997,30,
baseline,419000340,10,10,True,3443.79738,344.379738,23,
baseline,419000341,14,14,True,3707.738153,264.8384395,40,
baseline,419000342,16,16,True,1637.754005,102.3596253125,28,
baseline,419000343,15,15,True,3681.590633,245.43937553333333,40,
baseline,419000344,11,11,True,2940.833931,267.3485391818182,26,
baseline,419000345,16,16,True,3255.703782,203.481486375,42,
baseline,419000346,11,11,True,2407.021045,218.820095,25,
baseline,419000347,10,10,True,3120.562664,312.0562664,29,
baseline,419000348,12,12,True,3011.637493,250.96979108333335,25,
baseline,419000349,14,14,True,4137.139803,295.50998592857144,36,
baseline,419000350,14,14,True,2319.3185,165.66560714285714,22,
baseline,419000351,16,16,True,3508.221131,219.2638206875,44,
baseline,419000352,11,11,True,3419.161465,310.8328604545455,27,
baseline,419000353,13,13,True,3277.116014,252.08584723076925,42,
baseline,419000354,10,10,True,2252.688766,225.26887660000003,18,
baseline,419000355,15,15,True,3762.087786,250.8058524,38,
baseline,419000356,10,10,True,2748.220516,274.8220516,20,
baseline,419000357,10,10,True,3394.911359,339.4911359,28,
baseline,419000358,10,10,True,2465.184576,246.5184576,23,
baseline,419000359,15,15,True,3959.456416,263.9637610666667,38,
baseline,419000360,15,15,True,2949.946901,196.6631267333333,28,
baseline,419000361,14,14,True,3915.267979,279.66199850000004,37,
baseline,419000362,15,15,True,2529.647238,168.6431492,24,
baseline,419000363,15,15,True,3567.628069,237.84187126666666,39,
baseline,419000364,11,11,True,3405.499203,309.59083663636363,27,
baseline,419000365,14,14,True,3546.199974,253.29999814285716,39,
baseline,419000366,15,15,True,2367.459,157.83059999999998,25,
baseline,419000367,12,12,True,4241.784206,353.4820171666667,34,
baseline,419000368,13,13,True,3360.971433,258.5362640769231,26,
baseline,419000369,16,16,True,4051.568858,253.223053625,43,
baseline,419000370,10,10,True,2765.782203,276.5782203,20,
baseline,419000371,15,15,True,3579.789888,238.6526592,43,
baseline,419000372,11,11,True,3376.828753,306.9844320909091,25,
baseline,419000373,15,15,True,3951.521473,263.4347648666666,40,
baseline,419000374,12,12,True,2424.175909,202.01465908333333,21,
baseline,419000375,14,14,True,3512.023811,250.85884364285715,38,
baseline,419000376,11,11,True,3172.848978,288.4408161818182,28,
baseline,419000377,16,16,True,3594.963759,224.6852349375,41,
baseline,419000378,11,11,True,2359.725469,214.52049718181817,21,
baseline,419000379,10,10,True,3671.332518,367.13325180000004,30,
baseline,419000380,16,16,True,3120.397063,195.0248164375,32,
baseline,419000381,12,12,True,3266.277876,272.189823,36,
baseline,419000382,15,15,True,3074.312049,204.9541366,32,
baseline,419000383,16,16,True,3723.772562,232.735785125,46,
baseline,419000384,11,11,True,3024.945852,274.9950774545454,26,
baseline,419000385,10,10,True,3621.21524,362.121524,30,
baseline,419000386,10,10,True,2445.817995,244.5817995,22,
baseline,419000387,10,10,True,3505.215857,350.5215857,26,
baseline,419000388,14,14,True,3553.622318,253.83016557142858,30,
baseline,419000389,11,11,True,3353.318395,304.8471268181818,32,
baseline,419000390,14,14,True,2333.217464,166.65839028571426,26,
baseline,419000391,10,10,True,3403.430424,340.3430424,29,
baseline,419000392,15,15,True,3573.705602,238.24704013333334,27,
baseline,419000393,14,14,True,3682.928129,263.06629492857144,42,
baseline,419000394,15,15,True,2459.190856,163.94605706666667,27,
baseline,419000395,11,11,True,3419.618594,310.87441763636366,34,
baseline,419000396,10,10,True,3489.50565,348.950565,23,
baseline,419000397,10,10,True,3591.99241,359.199241,31,
baseline,419000398,14,14,True,2295.92305,163.99450357142857,23,
baseline,419000399,15,15,True,3897.127428,259.8084952,41,
baseline,419000400,11,11,True,3791.236751,344.65788645454546,26,
baseline,419000401,10,10,True,3490.647972,349.06479720000004,31,
baseline,419000402,10,10,True,2597.447038,259.74470379999997,23,
baseline,419000403,12,12,True,3739.749969,311.64583075,33,
baseline,419000404,10,10,True,2981.892753,298.1892753,19,
baseline,419000405,13,13,True,3700.633835,284.6641411538462,33,
baseline,419000406,15,15,True,2857.069645,190.47130966666666,28,
baseline,419000407,13,13,True,3568.406363,274.49279715384614,36,
baseline,419000408,10,10,True,2841.066593,284.1066593,21,
baseline,419000409,15,15,True,4106.953512,273.7969008,40,
baseline,419000410,10,10,True,2552.997084,255.29970840000001,24,
baseline,419000411,16,16,True,3671.53557,229.470973125,40,
baseline,419000412,10,10,True,3335.054689,333.5054689,29,
baseline,419000413,11,11,True,3319.345658,301.7586961818182,28,
baseline,419000414,14,14,True,2598.768526,185.62632328571428,26,
baseline,419000415,16,16,True,4118.912827,257.4320516875,42,
baseline,419000416,14,14,True,3159.532748,225.68091057142857,25,
baseline,419000417,12,12,True,3485.442456,290.45353800000004,35,
baseline,419000418,10,10,True,2737.138342,273.7138342,21,
baseline,419000419,15,15,True,3540.680533,236.04536886666668,40,
baseline,419000420,13,13,True,3616.532577,278.1948136153846,30,
baseline,419000421,14,14,True,4163.997243,297.42837449999996,36,
baseline,419000422,13,13,True,2597.64626,199.81894307692306,23,
baseline,419000423,14,14,True,3645.166057,260.36900407142855,37,
baseline,419000424,14,14,True,4262.548504,304.4677502857143,35,
baseline,419000425,14,14,True,3624.874273,258.91959092857144,38,
baseline,419000426,14,14,True,2659.98985,189.99927499999998,24,
baseline,419000427,15,15,True,3839.717249,255.9811499333333,39,
baseline,419000428,14,14,True,3184.669668,227.47640485714285,28,
baseline,419000429,13,13,True,3552.214379,273.2472599230769,34,
baseline,419000430,14,14,True,2906.929514,207.6378224285714,25,
baseline,419000431,15,15,True,3875.163639,258.3442426,41,
baseline,419000432,10,10,True,3275.542958,327.5542958,26,
baseline,419000433,13,13,True,3794.75225,291.9040192307692,36,
baseline,419000434,13,13,True,2544.414891,195.7242223846154,24,
baseline,419000435,13,13,True,3895.77886,299.6752969230769,38,
baseline,419000436,15,15,True,4176.3634,278.4242266666667,33,
baseline,419000437,12,12,True,3520.380472,293.3650393333333,34,
baseline,419000438,10,10,True,2691.179879,269.1179879,18,
baseline,419000439,12,12,True,4256.762056,354.7301713333333,35,
baseline,419000440,10,10,True,3320.000417,332.0000417,21,
baseline,419000441,16,16,True,3754.861168,234.678823,40,
baseline,419000442,15,15,True,2665.543044,177.7028696,30,
baseline,419000443,11,11,True,3247.477638,295.2252398181818,29,
baseline,419000444,11,11,True,2826.540503,256.9582275454546,28,
baseline,419000445,12,12,True,4058.413228,338.2011023333333,32,
baseline,419000446,13,13,True,2536.51266,195.11635846153845,21,
baseline,419000447,14,14,True,3474.002332,248.1430237142857,40,
baseline,419000448,13,13,True,4014.316735,308.793595,29,
baseline,419000449,11,11,True,3360.500685,305.5000622727273,36,
baseline,419000450,16,16,True,1696.729145,106.0455715625,29,
baseline,419000451,14,14,True,3820.258047,272.87557478571426,38,
baseline,419000452,11,11,True,3312.38468,301.12588,28,
baseline,419000453,15,15,True,3789.371672,252.62477813333334,40,
baseline,419000454,15,15,True,2600.275394,173.3516929333333,31,
baseline,419000455,12,12,True,3475.694586,289.6412155,35,
baseline,419000456,16,16,True,4009.881147,250.6175716875,34,
baseline,419000457,14,14,True,4161.379368,297.2413834285714,36,
baseline,419000458,13,13,True,2541.1691,195.47454615384615,27,
baseline,419000459,12,12,True,4026.169193,335.5140994166667,34,
